Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
fev/17;SEST;73.471.989/0001-95;37.692.320
fev/17;SENAT;73.471.963/0001-47;23.651.156
fev/17;SESCOOP;03.087.543/0001-86;27.300.094
fev/17;SDR;420013 / 00001;19.603.138
fev/17;APEX-BR;05.507.500/0001-38;36.988.184
fev/17;ABDI;07.200.966/0001-11;6.038.874
mar/17;FNDE;153173 / 15253;1.548.248.317
mar/17;INCRA;373001 / 37201;109.309.496
mar/17;SENAI;33.564.543/0001-90;112.145.703
mar/17;SESI;33.641.358/0001-52;160.025.709
mar/17;SENAC;33.469.172/0001-68;208.339.070
mar/17;SESC;33.469.164/0001-11;379.113.965
mar/17;SEBRAE;00.330.854/0001-45;249.394.900
mar/17;EMBRATUR;35.842.428/0001-66;0
mar/17;DPC;852001 / 00001;11.795.997
mar/17;ANAC;122002 / 00001;18.305.695
mar/17;SENAR;37.138.245/0001-90;48.325.796
mar/17;SEST;73.471.989/0001-95;35.984.706
mar/17;SENAT;73.471.963/0001-47;22.577.514
mar/17;SESCOOP;03.087.543/0001-86;26.526.808
mar/17;SDR;420013 / 00001;19.238.563
mar/17;APEX-BR;05.507.500/0001-38;36.298.898
mar/17;ABDI;07.200.966/0001-11;5.926.422
abr/17;FNDE;153173 / 15253;1.560.713.935
abr/17;INCRA;373001 / 37201;110.767.847
abr/17;SENAI;33.564.543/0001-90;113.425.258
abr/17;SESI;33.641.358/0001-52;161.952.385
abr/17;SENAC;33.469.172/0001-68;210.355.750
abr/17;SESC;33.469.164/0001-11;379.964.945
abr/17;SEBRAE;00.330.854/0001-45;250.714.994
abr/17;EMBRATUR;35.842.428/0001-66;0
abr/17;DPC;852001 / 00001;12.709.295
abr/17;ANAC;122002 / 00001;17.685.865
abr/17;SENAR;37.138.245/0001-90;64.552.019
abr/17;SEST;73.471.989/0001-95;37.524.795
abr/17;SENAT;73.471.963/0001-47;23.668.078
abr/17;SESCOOP;03.087.543/0001-86;26.601.654
abr/17;SDR;420013 / 00001;19.534.962
abr/17;APEX-BR;05.507.500/0001-38;36.542.570
abr/17;ABDI;07.200.966/0001-11;5.966.232
mai/17;FNDE;153173 / 15253;1.535.979.498
mai/17;INCRA;373001 / 37201;109.261.366
mai/17;SENAI;33.564.543/0001-90;112.748.383
mai/17;SESI;33.641.358/0001-52;160.104.982
mai/17;SENAC;33.469.172/0001-68;206.526.797
mai/17;SESC;33.469.164/0001-11;372.910.277
mai/17;SEBRAE;00.330.854/0001-45;248.935.171
mai/17;EMBRATUR;35.842.428/0001-66;0
mai/17;DPC;852001 / 00001;12.216.827
mai/17;ANAC;122002 / 00001;17.277.805
mai/17;SENAR;37.138.245/0001-90;83.955.034
mai/17;SEST;73.471.989/0001-95;38.292.139
mai/17;SENAT;73.471.963/0001-47;24.113.506
mai/17;SESCOOP;03.087.543/0001-86;26.730.534
mai/17;SDR;420013 / 00001;19.268.703
mai/17;APEX-BR;05.507.500/0001-38;36.282.503
mai/17;ABDI;07.200.966/0001-11;5.923.773
jun/17;FNDE;153173 / 15253;1.568.881.986
jun/17;INCRA;373001 / 37201;112.028.525
jun/17;SENAI;33.564.543/0001-90;114.823.853
jun/17;SESI;33.641.358/0001-52;163.229.045
jun/17;SENAC;33.469.172/0001-68;214.256.135
jun/17;SESC;33.469.164/0001-11;388.141.110
jun/17;SEBRAE;00.330.854/0001-45;253.382.084
jun/17;EMBRATUR;35.842.428/0001-66;0
jun/17;DPC;852001 / 00001;12.288.117
jun/17;ANAC;122002 / 00001;18.744.632
jun/17;SENAR;37.138.245/0001-90;69.562.429
jun/17;SEST;73.471.989/0001-95;38.365.845
jun/17;SENAT;73.471.963/0001-47;24.201.400
jun/17;SESCOOP;03.087.543/0001-86;27.312.313
jun/17;SDR;420013 / 00001;19.757.997
jun/17;APEX-BR;05.507.500/0001-38;36.932.210
jun/17;ABDI;07.200.966/0001-11;6.029.862
jul/17;FNDE;153173 / 15253;1.545.570.493
jul/17;INCRA;373001 / 37201;110.133.733
jul/17;SENAI;33.564.543/0001-90;113.041.104
jul/17;SESI;33.641.358/0001-52;161.742.520
jul/17;SENAC;33.469.172/0001-68;210.357.945
jul/17;SESC;33.469.164/0001-11;381.612.994
jul/17;SEBRAE;00.330.854/0001-45;250.294.029
jul/17;EMBRATUR;35.842.428/0001-66;0
jul/17;DPC;852001 / 00001;12.223.731
jul/17;ANAC;122002 / 00001;18.195.489
jul/17;SENAR;37.138.245/0001-90;79.876.372
jul/17;SEST;73.471.989/0001-95;39.031.391
jul/17;SENAT;73.471.963/0001-47;24.552.802
jul/17;SESCOOP;03.087.543/0001-86;27.176.756
jul/17;SDR;420013 / 00001;19.424.430
jul/17;APEX-BR;05.507.500/0001-38;36.482.985
jul/17;ABDI;07.200.966/0001-11;5.956.499
ago/17;FNDE;153173 / 15253;1.556.726.519
ago/17;INCRA;373001 / 37201;111.266.218
ago/17;SENAI;33.564.543/0001-90;113.931.222
ago/17;SESI;33.641.358/0001-52;162.890.307
ago/17;SENAC;33.469.172/0001-68;211.928.562
ago/17;SESC;33.469.164/0001-11;384.238.969
ago/17;SEBRAE;00.330.854/0001-45;251.941.802
ago/17;EMBRATUR;35.842.428/0001-66;0
ago/17;DPC;852001 / 00001;12.022.854
ago/17;ANAC;122002 / 00001;16.855.338
ago/17;SENAR;37.138.245/0001-90;73.862.839
ago/17;SEST;73.471.989/0001-95;39.710.791
ago/17;SENAT;73.471.963/0001-47;25.063.535
ago/17;SESCOOP;03.087.543/0001-86;27.757.278
ago/17;SDR;420013 / 00001;19.623.675
ago/17;APEX-BR;05.507.500/0001-38;36.722.466
ago/17;ABDI;07.200.966/0001-11;5.995.597
set/17;FNDE;153173 / 15253;1.581.716.024
set/17;INCRA;373001 / 37201;113.084.889
set/17;SENAI;33.564.543/0001-90;118.754.854
set/17;SESI;33.641.358/0001-52;169.680.795
set/17;SENAC;33.469.172/0001-68;214.106.173
set/17;SESC;33.469.164/0001-11;391.368.909
set/17;SEBRAE;00.330.854/0001-45;257.263.963
set/17;EMBRATUR;35.842.428/0001-66;0
set/17;DPC;852001 / 00001;12.513.184
set/17;ANAC;122002 / 00001;18.484.770
set/17;SENAR;37.138.245/0001-90;78.087.501
set/17;SEST;73.471.989/0001-95;40.989.433
set/17;SENAT;73.471.963/0001-47;25.762.395
set/17;SESCOOP;03.087.543/0001-86;27.886.944
set/17;SDR;420013 / 00001;19.944.891
set/17;APEX-BR;05.507.500/0001-38;37.498.873
set/17;ABDI;07.200.966/0001-11;6.122.411
out/17;FNDE;153173 / 15253;1.554.720.154
out/17;INCRA;373001 / 37201;111.075.380
out/17;SENAI;33.564.543/0001-90;114.132.533
out/17;SESI;33.641.358/0001-52;163.327.551
out/17;SENAC;33.469.172/0001-68;212.741.789
out/17;SESC;33.469.164/0001-11;384.870.409
out/17;SEBRAE;00.330.854/0001-45;254.897.197
out/17;EMBRATUR;35.842.428/0001-66;0
out/17;DPC;852001 / 00001;12.120.128
out/17;ANAC;122002 / 00001;18.167.462
out/17;SENAR;37.138.245/0001-90;73.113.368
out/17;SEST;73.471.989/0001-95;40.628.057
out/17;SENAT;73.471.963/0001-47;25.384.799
out/17;SESCOOP;03.087.543/0001-86;29.147.727
out/17;SDR;420013 / 00001;19.558.167
out/17;APEX-BR;05.507.500/0001-38;37.111.665
out/17;ABDI;07.200.966/0001-11;6.059.191
nov/17;FNDE;153173 / 15253;1.555.582.086
nov/17;INCRA;373001 / 37201;110.982.973
nov/17;SENAI;33.564.543/0001-90;116.102.038
nov/17;SESI;33.641.358/0001-52;166.009.800
nov/17;SENAC;33.469.172/0001-68;213.318.033
nov/17;SESC;33.469.164/0001-11;386.206.656
nov/17;SEBRAE;00.330.854/0001-45;257.104.763
nov/17;EMBRATUR;35.842.428/0001-66;0
nov/17;DPC;852001 / 00001;12.216.007
nov/17;ANAC;122002 / 00001;17.597.668
nov/17;SENAR;37.138.245/0001-90;83.260.366
nov/17;SEST;73.471.989/0001-95;41.195.035
nov/17;SENAT;73.471.963/0001-47;25.890.831
nov/17;SESCOOP;03.087.543/0001-86;28.597.078
nov/17;SDR;420013 / 00001;19.574.705
nov/17;APEX-BR;05.507.500/0001-38;37.476.624
nov/17;ABDI;07.200.966/0001-11;6.118.789
dez/17;FNDE;153173 / 15253;1.561.171.549
dez/17;INCRA;373001 / 37201;111.557.311
dez/17;SENAI;33.564.543/0001-90;121.475.712
dez/17;SESI;33.641.358/0001-52;171.991.610
dez/17;SENAC;33.469.172/0001-68;261.103.472
dez/17;SESC;33.469.164/0001-11;396.213.121
dez/17;SEBRAE;00.330.854/0001-45;330.175.604
dez/17;EMBRATUR;35.842.428/0001-66;0
dez/17;DPC;852001 / 00001;11.929.161
dez/17;ANAC;122002 / 00001;17.342.889
dez/17;SENAR;37.138.245/0001-90;70.053.416
dez/17;SEST;73.471.989/0001-95;47.960.907
dez/17;SENAT;73.471.963/0001-47;28.600.326
dez/17;SESCOOP;03.087.543/0001-86;29.276.590
dez/17;SDR;420013 / 00001;19.679.717
dez/17;APEX-BR;05.507.500/0001-38;48.136.455
dez/17;ABDI;07.200.966/0001-11;7.859.179
jan/18;FNDE;153173 / 15253;2.800.035.912
jan/18;INCRA;373001 / 37201;199.828.235
jan/18;SENAI;33.564.543/0001-90;216.977.540
jan/18;SESI;33.641.358/0001-52;296.152.526
jan/18;SENAC;33.469.172/0001-68;429.595.056
jan/18;SESC;33.469.164/0001-11;709.549.806
jan/18;SEBRAE;00.330.854/0001-45;539.119.770
jan/18;EMBRATUR;35.842.428/0001-66;0
jan/18;DPC;852001 / 00001;21.184.040
jan/18;ANAC;122002 / 00001;32.872.240
jan/18;SENAR;37.138.245/0001-90;97.632.611
jan/18;SEST;73.471.989/0001-95;73.525.540
jan/18;SENAT;73.471.963/0001-47;45.908.464
jan/18;SESCOOP;03.087.543/0001-86;53.955.735
jan/18;SDR;420013 / 00001;35.252.199
jan/18;APEX-BR;05.507.500/0001-38;78.598.037
jan/18;ABDI;07.200.966/0001-11;12.832.515
fev/18;FNDE;153173 / 15253;1.610.944.379
fev/18;INCRA;373001 / 37201;115.044.658
fev/18;SENAI;33.564.543/0001-90;119.453.424
fev/18;SESI;33.641.358/0001-52;170.322.505
fev/18;SENAC;33.469.172/0001-68;222.164.680
fev/18;SESC;33.469.164/0001-11;404.395.986
fev/18;SEBRAE;00.330.854/0001-45;265.515.838
fev/18;EMBRATUR;35.842.428/0001-66;0
fev/18;DPC;852001 / 00001;12.579.069
fev/18;ANAC;122002 / 00001;18.844.656
fev/18;SENAR;37.138.245/0001-90;64.259.876
fev/18;SEST;73.471.989/0001-95;42.011.196
fev/18;SENAT;73.471.963/0001-47;26.280.417
fev/18;SESCOOP;03.087.543/0001-86;29.994.816
fev/18;SDR;420013 / 00001;20.290.775
fev/18;APEX-BR;05.507.500/0001-38;38.704.302
fev/18;ABDI;07.200.966/0001-11;6.319.228
mar/18;FNDE;153173 / 15253;1.594.471.435
mar/18;INCRA;373001 / 37201;114.998.630
mar/18;SENAI;33.564.543/0001-90;112.513.853
mar/18;SESI;33.641.358/0001-52;161.249.138
mar/18;SENAC;33.469.172/0001-68;218.614.123
mar/18;SESC;33.469.164/0001-11;394.816.301
mar/18;SEBRAE;00.330.854/0001-45;258.138.998
mar/18;EMBRATUR;35.842.428/0001-66;0
mar/18;DPC;852001 / 00001;12.364.890
mar/18;ANAC;122002 / 00001;18.618.334
mar/18;SENAR;37.138.245/0001-90;61.865.847
mar/18;SEST;73.471.989/0001-95;38.083.519
mar/18;SENAT;73.471.963/0001-47;24.001.336
mar/18;SESCOOP;03.087.543/0001-86;29.230.081
mar/18;SDR;420013 / 00001;20.280.541
mar/18;APEX-BR;05.507.500/0001-38;37.623.756
mar/18;ABDI;07.200.966/0001-11;6.142.802
abr/18;FNDE;153173 / 15253;1.572.660.874
abr/18;INCRA;373001 / 37201;113.071.451
abr/18;SENAI;33.564.543/0001-90;111.255.656
abr/18;SESI;33.641.358/0001-52;159.389.391
abr/18;SENAC;33.469.172/0001-68;216.333.416
abr/18;SESC;33.469.164/0001-11;388.746.629
abr/18;SEBRAE;00.330.854/0001-45;252.299.672
abr/18;EMBRATUR;35.842.428/0001-66;0
abr/18;DPC;852001 / 00001;12.124.921
abr/18;ANAC;122002 / 00001;18.083.260
abr/18;SENAR;37.138.245/0001-90;88.705.529
abr/18;SEST;73.471.989/0001-95;38.260.990
abr/18;SENAT;73.471.963/0001-47;24.135.166
abr/18;SESCOOP;03.087.543/0001-86;29.009.799
abr/18;SDR;420013 / 00001;19.976.895
abr/18;APEX-BR;05.507.500/0001-38;36.820.058
abr/18;ABDI;07.200.966/0001-11;6.011.587
mai/18;FNDE;153173 / 15253;1.588.651.270
mai/18;INCRA;373001 / 37201;114.555.379
mai/18;SENAI;33.564.543/0001-90;113.390.499
mai/18;SESI;33.641.358/0001-52;162.016.553
mai/18;SENAC;33.469.172/0001-68;217.807.585
mai/18;SESC;33.469.164/0001-11;395.044.469
mai/18;SEBRAE;00.330.854/0001-45;192.086.606
mai/18;EMBRATUR;35.842.428/0001-66;0
mai/18;DPC;852001 / 00001;12.068.490
mai/18;ANAC;122002 / 00001;17.670.872
mai/18;SENAR;37.138.245/0001-90;112.027.735
mai/18;SEST;73.471.989/0001-95;41.378.036
mai/18;SENAT;73.471.963/0001-47;25.856.252
mai/18;SESCOOP;03.087.543/0001-86;29.460.052
mai/18;SDR;420013 / 00001;20.202.072
mai/18;APEX-BR;05.507.500/0001-38;37.556.392
mai/18;ABDI;07.200.966/0001-11;71.724.479
jun/18;FNDE;153173 / 15253;1.582.747.831
jun/18;INCRA;373001 / 37201;113.599.653
jun/18;SENAI;33.564.543/0001-90;113.889.725
jun/18;SESI;33.641.358/0001-52;162.946.304
jun/18;SENAC;33.469.172/0001-68;218.610.995
jun/18;SESC;33.469.164/0001-11;394.893.071
jun/18;SEBRAE;00.330.854/0001-45;257.289.254
jun/18;EMBRATUR;35.842.428/0001-66;0
jun/18;DPC;852001 / 00001;12.537.154
jun/18;ANAC;122002 / 00001;17.979.480
jun/18;SENAR;37.138.245/0001-90;115.492.472
jun/18;SEST;73.471.989/0001-95;41.122.055
jun/18;SENAT;73.471.963/0001-47;25.780.137
jun/18;SESCOOP;03.087.543/0001-86;29.782.485
jun/18;SDR;420013 / 00001;20.035.640
jun/18;APEX-BR;05.507.500/0001-38;37.502.441
jun/18;ABDI;07.200.966/0001-11;6.122.995
jul/18;FNDE;153173 / 15253;1.577.909.338
jul/18;INCRA;373001 / 37201;113.418.200
jul/18;SENAI;33.564.543/0001-90;112.800.343
jul/18;SESI;33.641.358/0001-52;161.160.829
jul/18;SENAC;33.469.172/0001-68;217.617.488
jul/18;SESC;33.469.164/0001-11;392.182.422
jul/18;SEBRAE;00.330.854/0001-45;255.914.320
jul/18;EMBRATUR;35.842.428/0001-66;0
jul/18;DPC;852001 / 00001;12.959.143
jul/18;ANAC;122002 / 00001;18.697.275
jul/18;SENAR;37.138.245/0001-90;91.957.665
jul/18;SEST;73.471.989/0001-95;40.396.158
jul/18;SENAT;73.471.963/0001-47;25.462.767
jul/18;SESCOOP;03.087.543/0001-86;29.004.815
jul/18;SDR;420013 / 00001;20.002.439
jul/18;APEX-BR;05.507.500/0001-38;37.300.403
jul/18;ABDI;07.200.966/0001-11;6.090.012
ago/18;FNDE;153173 / 15253;1.573.545.353
ago/18;INCRA;373001 / 37201;113.573.852
ago/18;SENAI;33.564.543/0001-90;112.330.415
ago/18;SESI;33.641.358/0001-52;160.695.243
ago/18;SENAC;33.469.172/0001-68;217.215.045
ago/18;SESC;33.469.164/0001-11;394.220.279
ago/18;SEBRAE;00.330.854/0001-45;255.453.189
ago/18;EMBRATUR;35.842.428/0001-66;0
ago/18;DPC;852001 / 00001;11.650.102
ago/18;ANAC;122002 / 00001;18.184.212
ago/18;SENAR;37.138.245/0001-90;98.685.008
ago/18;SEST;73.471.989/0001-95;43.139.692
ago/18;SENAT;73.471.963/0001-47;26.700.056
ago/18;SESCOOP;03.087.543/0001-86;29.487.425
ago/18;SDR;420013 / 00001;19.987.074
ago/18;APEX-BR;05.507.500/0001-38;37.177.003
ago/18;ABDI;07.200.966/0001-11;6.069.871
set/18;FNDE;153173 / 15253;1.639.366.442
set/18;INCRA;373001 / 37201;117.931.478
set/18;SENAI;33.564.543/0001-90;117.879.275
set/18;SESI;33.641.358/0001-52;168.810.282
set/18;SENAC;33.469.172/0001-68;226.389.735
set/18;SESC;33.469.164/0001-11;409.696.076
set/18;SEBRAE;00.330.854/0001-45;266.496.070
set/18;EMBRATUR;35.842.428/0001-66;0
set/18;DPC;852001 / 00001;11.542.392
set/18;ANAC;122002 / 00001;18.071.258
set/18;SENAR;37.138.245/0001-90;95.968.747
set/18;SEST;73.471.989/0001-95;45.340.891
set/18;SENAT;73.471.963/0001-47;28.306.396
set/18;SESCOOP;03.087.543/0001-86;28.906.897
set/18;SDR;420013 / 00001;20.800.004
set/18;APEX-BR;05.507.500/0001-38;38.844.861
set/18;ABDI;07.200.966/0001-11;6.342.163
out/18;FNDE;153173 / 15253;1.525.126.063
out/18;INCRA;373001 / 37201;120.979.982
out/18;SENAI;33.564.543/0001-90;110.164.666
out/18;SESI;33.641.358/0001-52;157.423.045
out/18;SENAC;33.469.172/0001-68;208.683.788
out/18;SESC;33.469.164/0001-11;379.119.439
out/18;SEBRAE;00.330.854/0001-45;242.977.767
out/18;EMBRATUR;35.842.428/0001-66;0
out/18;DPC;852001 / 00001;11.215.874
out/18;ANAC;122002 / 00001;17.001.170
out/18;SENAR;37.138.245/0001-90;92.001.809
out/18;SEST;73.471.989/0001-95;41.819.755
out/18;SENAT;73.471.963/0001-47;26.614.369
out/18;SESCOOP;03.087.543/0001-86;27.574.842
out/18;SDR;420013 / 00001;9.081.115
out/18;APEX-BR;05.507.500/0001-38;35.413.459
out/18;ABDI;07.200.966/0001-11;5.781.949
nov/18;FNDE;153173 / 15253;1.593.844.416
nov/18;INCRA;373001 / 37201;126.527.407
nov/18;SENAI;33.564.543/0001-90;113.291.706
nov/18;SESI;33.641.358/0001-52;162.249.001
nov/18;SENAC;33.469.172/0001-68;217.599.574
nov/18;SESC;33.469.164/0001-11;392.726.425
nov/18;SEBRAE;00.330.854/0001-45;254.794.720
nov/18;EMBRATUR;35.842.428/0001-66;0
nov/18;DPC;852001 / 00001;11.546.004
nov/18;ANAC;122002 / 00001;16.718.708
nov/18;SENAR;37.138.245/0001-90;90.445.671
nov/18;SEST;73.471.989/0001-95;42.971.178
nov/18;SENAT;73.471.963/0001-47;27.456.501
nov/18;SESCOOP;03.087.543/0001-86;28.005.756
nov/18;SDR;420013 / 00001;8.911.100
nov/18;APEX-BR;05.507.500/0001-38;37.131.169
nov/18;ABDI;07.200.966/0001-11;6.062.402
dez/18;FNDE;153173 / 15253;1.626.809.010
dez/18;INCRA;373001 / 37201;129.563.614
dez/18;SENAI;33.564.543/0001-90;112.676.412
dez/18;SESI;33.641.358/0001-52;161.874.475
dez/18;SENAC;33.469.172/0001-68;223.465.587
dez/18;SESC;33.469.164/0001-11;402.744.493
dez/18;SEBRAE;00.330.854/0001-45;263.034.038
dez/18;EMBRATUR;35.842.428/0001-66;0
dez/18;DPC;852001 / 00001;12.011.156
dez/18;ANAC;122002 / 00001;17.355.673
dez/18;SENAR;37.138.245/0001-90;88.365.344
dez/18;SEST;73.471.989/0001-95;43.910.308
dez/18;SENAT;73.471.963/0001-47;28.203.114
dez/18;SESCOOP;03.087.543/0001-86;27.972.870
dez/18;SDR;420013 / 00001;8.847.343
dez/18;APEX-BR;05.507.500/0001-38;38.338.468
dez/18;ABDI;07.200.966/0001-11;6.259.504
jan/19;FNDE;153173 / 15253;2.813.094.868
jan/19;INCRA;373001 / 37201;222.965.066
jan/19;SENAI;33.564.543/0001-90;190.839.310
jan/19;SESI;33.641.358/0001-52;270.637.167
jan/19;SENAC;33.469.172/0001-68;388.624.046
jan/19;SESC;33.469.164/0001-11;702.782.190
jan/19;SEBRAE;00.330.854/0001-45;451.650.966
jan/19;EMBRATUR;35.842.428/0001-66;0
jan/19;DPC;852001 / 00001;20.017.503
jan/19;ANAC;122002 / 00001;29.322.223
jan/19;SENAR;37.138.245/0001-90;83.329.998
jan/19;SEST;73.471.989/0001-95;66.534.729
jan/19;SENAT;73.471.963/0001-47;43.301.954
jan/19;SESCOOP;03.087.543/0001-86;53.153.993
jan/19;SDR;420013 / 00001;14.796.282
jan/19;APEX-BR;05.507.500/0001-38;65.843.104
jan/19;ABDI;07.200.966/0001-11;10.750.113
fev/19;FNDE;153173 / 15253;1.731.450.323
fev/19;INCRA;373001 / 37201;138.185.352
fev/19;SENAI;33.564.543/0001-90;122.123.728
fev/19;SESI;33.641.358/0001-52;174.742.432
fev/19;SENAC;33.469.172/0001-68;238.281.984
fev/19;SESC;33.469.164/0001-11;430.401.793
fev/19;SEBRAE;00.330.854/0001-45;280.030.953
fev/19;EMBRATUR;35.842.428/0001-66;0
fev/19;DPC;852001 / 00001;13.217.532
fev/19;ANAC;122002 / 00001;21.123.059
fev/19;SENAR;37.138.245/0001-90;98.999.202
fev/19;SEST;73.471.989/0001-95;42.958.182
fev/19;SENAT;73.471.963/0001-47;27.501.632
fev/19;SESCOOP;03.087.543/0001-86;29.830.734
fev/19;SDR;420013 / 00001;9.148.009
fev/19;APEX-BR;05.507.500/0001-38;40.812.084
fev/19;ABDI;07.200.966/0001-11;6.663.400
mar/19;FNDE;153173 / 15253;1.678.669.736
mar/19;INCRA;373001 / 37201;122.922.080
mar/19;SENAI;33.564.543/0001-90;113.541.855
mar/19;SESI;33.641.358/0001-52;163.568.403
mar/19;SENAC;33.469.172/0001-68;230.598.256
mar/19;SESC;33.469.164/0001-11;415.232.536
mar/19;SEBRAE;00.330.854/0001-45;266.876.164
mar/19;EMBRATUR;35.842.428/0001-66;0
mar/19;DPC;852001 / 00001;12.577.271
mar/19;ANAC;122002 / 00001;18.208.057
mar/19;SENAR;37.138.245/0001-90;79.724.140
mar/19;SEST;73.471.989/0001-95;43.541.901
mar/19;SENAT;73.471.963/0001-47;27.968.125
mar/19;SESCOOP;03.087.543/0001-86;29.824.430
mar/19;SDR;420013 / 00001;8.785.621
mar/19;APEX-BR;05.507.500/0001-38;38.895.728
mar/19;ABDI;07.200.966/0001-11;6.350.545
abr/19;FNDE;153173 / 15253;1.644.460.287
abr/19;INCRA;373001 / 37201;130.811.739
abr/19;SENAI;33.564.543/0001-90;110.740.681
abr/19;SESI;33.641.358/0001-52;159.445.760
abr/19;SENAC;33.469.172/0001-68;228.855.859
abr/19;SESC;33.469.164/0001-11;409.826.861
abr/19;SEBRAE;00.330.854/0001-45;263.683.677
